Sat Mar 30 2019 13:39:04 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:39:30 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:39:30 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:40:30 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:40:30 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:40:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:40:44 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:40:56 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /about.html 
Sat Mar 30 2019 13:40:56 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /main.css 
Sat Mar 30 2019 13:40:56 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/main.css'
Sat Mar 30 2019 13:40:56 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /main.js 
Sat Mar 30 2019 13:40:56 GMT+0200 (EET) 	 Error: ENOENT: no such file or directory, open '/home/thunder/Desktop/WebDev/Nodeserver/public/main.js'
Sat Mar 30 2019 13:41:41 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:41:41 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:42:31 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:42:31 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:01 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:43:01 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:02 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:02 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:15 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:15 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:16 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:16 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:19 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:43:19 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:25 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:43:25 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:26 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:26 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:34 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:34 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:43:46 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
Sat Mar 30 2019 13:43:46 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:44:24 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:44:24 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:44:40 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:44:40 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:46:17 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:46:17 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:46:32 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 / 
Sat Mar 30 2019 13:46:32 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /css/main.css 
Sat Mar 30 2019 13:47:14 GMT+0200 (EET) 	 ::ffff:127.0.0.1 	 /politics.html 
